datetime,load
2024-01-01 00:00:00+00:00,-16260000.000000002
2024-01-01 00:15:00+00:00,-15930000.0
2024-01-01 00:30:00+00:00,-15930000.0
2024-01-01 00:45:00+00:00,-15930000.0
2024-01-01 01:00:00+00:00,-15930000.0
2024-01-01 01:15:00+00:00,-15930000.0
2024-01-01 01:30:00+00:00,-15930000.0
2024-01-01 01:45:00+00:00,-15516666.666666668
2024-01-01 02:00:00+00:00,-14940000.0
2024-01-01 02:15:00+00:00,-14940000.0
2024-01-01 02:30:00+00:00,-14940000.0
2024-01-01 02:45:00+00:00,-14940000.0
2024-01-01 03:00:00+00:00,-14940000.0
2024-01-01 03:15:00+00:00,-14940000.0
2024-01-01 03:30:00+00:00,-14890000.0
2024-01-01 03:45:00+00:00,-13940000.0
2024-01-01 04:00:00+00:00,-13940000.0
2024-01-01 04:15:00+00:00,-13940000.0
2024-01-01 04:30:00+00:00,-13940000.0
2024-01-01 04:45:00+00:00,-13940000.0
2024-01-01 05:00:00+00:00,-13940000.0
2024-01-01 05:15:00+00:00,-13940000.0
2024-01-01 05:30:00+00:00,-13940000.0
2024-01-01 05:45:00+00:00,-13940000.0
2024-01-01 06:00:00+00:00,-13940000.0
2024-01-01 06:15:00+00:00,-14923333.333333334
2024-01-01 06:30:00+00:00,-14940000.0
2024-01-01 06:45:00+00:00,-14940000.0
2024-01-01 07:00:00+00:00,-14940000.0
2024-01-01 07:15:00+00:00,-14940000.0
2024-01-01 07:30:00+00:00,-14940000.0
2024-01-01 07:45:00+00:00,-15833333.333333334
2024-01-01 08:00:00+00:00,-15953333.333333334
2024-01-01 08:15:00+00:00,-16943333.333333332
2024-01-01 08:30:00+00:00,-16600000.000000002
2024-01-01 08:45:00+00:00,-16600000.000000002
2024-01-01 09:00:00+00:00,-16460000.0
2024-01-01 09:15:00+00:00,-15580000.0
2024-01-01 09:30:00+00:00,-17583333.333333332
2024-01-01 09:45:00+00:00,-17633333.333333332
2024-01-01 10:00:00+00:00,-18000000.0
2024-01-01 10:15:00+00:00,-16953333.333333332
2024-01-01 10:30:00+00:00,-19083333.333333332
2024-01-01 10:45:00+00:00,-18463333.333333336
2024-01-01 11:00:00+00:00,-17966666.666666664
2024-01-01 11:15:00+00:00,-16830000.0
2024-01-01 11:30:00+00:00,-16456666.666666668
2024-01-01 11:45:00+00:00,-17383333.333333332
2024-01-01 12:00:00+00:00,-18180000.0
2024-01-01 12:15:00+00:00,-16043333.333333332
